,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,FormalEducation,MajorSelect,Tenure,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther
21,Male,United States,25.0,Employed part-time,Yes,Researcher,Amazon Machine Learning,Deep learning,Python,Bachelor's degree,Physics,3 to 5 years,University courses,30.0,20.0,0.0,50.0,0.0,0.0
22,Male,United States,33.0,Employed full-time,Yes,Scientist/Researcher,R,Deep learning,Matlab,Doctoral degree,Electrical Engineering,Less than a year,Kaggle competitions,10.0,30.0,0.0,10.0,50.0,0.0
23,Male,Czech Republic,21.0,Employed part-time,Yes,Other,R,Deep learning,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",55.0,30.0,10.0,5.0,0.0,0.0
25,Male,Russia,22.0,Employed full-time,Yes,Data Analyst,TensorFlow,Genetic & Evolutionary Algorithms,Python,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,University courses,10.0,60.0,0.0,20.0,10.0,0.0
26,Male,Netherlands,51.0,Employed full-time,Yes,Engineer,I don't plan on learning a new tool/technology,I don't plan on learning a new ML/DS method,R,Master's degree,Biology,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",30.0,15.0,35.0,20.0,0.0,0.0
27,Male,Colombia,34.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",20.0,30.0,50.0,0.0,0.0,0.0
31,Male,Poland,29.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,50.0,10.0,10.0,10.0,0.0
32,Male,United Kingdom,36.0,Employed full-time,Yes,Data Scientist,Microsoft Azure Machine Learning,Proprietary Algorithms,Python,Doctoral degree,Electrical Engineering,More than 10 years,University courses,20.0,10.0,20.0,50.0,0.0,0.0
33,Male,Russia,34.0,Employed full-time,Yes,Machine Learning Engineer,Python,Deep learning,Python,Master's degree,Computer Science,6 to 10 years,Work,30.0,0.0,60.0,10.0,0.0,0.0
34,Male,United States,35.0,Employed full-time,Yes,Engineer,Spark / MLlib,Deep learning,Python,Doctoral degree,Physics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",10.0,50.0,15.0,0.0,25.0,0.0
37,Male,Sweden,37.0,Employed full-time,Yes,Machine Learning Engineer,TensorFlow,Deep learning,Python,Master's degree,Electrical Engineering,More than 10 years,University courses,40.0,0.0,58.0,2.0,0.0,0.0
39,Male,United States,43.0,Retired,Yes,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Doctoral degree,Computer Science,More than 10 years,Self-taught,15.0,10.0,75.0,0.0,0.0,0.0
41,Male,United States,30.0,Employed full-time,Yes,Data Scientist,Stan,Monte Carlo Methods,Python,Master's degree,Mathematics or statistics,6 to 10 years,University courses,0.0,40.0,20.0,40.0,0.0,0.0
42,Male,Portugal,30.0,Employed full-time,Yes,Data Scientist,TensorFlow,Monte Carlo Methods,Python,Master's degree,Physics,3 to 5 years,Kaggle competitions,40.0,5.0,25.0,0.0,30.0,0.0
44,Male,Other,28.0,Employed full-time,Yes,Data Scientist,Amazon Machine Learning,Deep learning,R,Master's degree,A social science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",35.0,45.0,10.0,10.0,0.0,0.0
45,Male,Mexico,26.0,Employed part-time,Yes,Data Scientist,Jupyter notebooks,Neural Nets,Python,Some college/university study without earning a bachelor's degree,A social science,1 to 2 years,Self-taught,50.0,20.0,25.0,5.0,0.0,0.0
46,Male,New Zealand,34.0,"Independent contractor, freelancer, or self-employed",No,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
55,Male,United States,63.0,Employed full-time,Yes,Other,TensorFlow,Time Series Analysis,Python,Master's degree,Electrical Engineering,3 to 5 years,University courses,40.0,20.0,10.0,30.0,0.0,0.0
59,Male,United States,32.0,Employed full-time,Yes,Researcher,TensorFlow,Other,Stata,Master's degree,Mathematics or statistics,6 to 10 years,University courses,15.0,10.0,20.0,50.0,5.0,0.0
61,Male,Iran,31.0,Employed part-time,Yes,Scientist/Researcher,Python,Deep learning,Python,Doctoral degree,Computer Science,1 to 2 years,University courses,35.0,20.0,15.0,30.0,0.0,0.0
62,Male,Singapore,24.0,Employed full-time,Yes,Data Analyst,Spark / MLlib,Neural Nets,Python,Bachelor's degree,Computer Science,3 to 5 years,Work,0.0,40.0,60.0,0.0,0.0,0.0
63,Male,India,54.0,"Independent contractor, freelancer, or self-employed",No,Engineer,Python,Deep learning,Python,Bachelor's degree,Engineering (non-computer focused),I don't write code to analyze data,Self-taught,70.0,15.0,0.0,0.0,15.0,0.0
65,Male,India,29.0,Employed full-time,Yes,Data Scientist,Python,Bayesian Methods,R,Master's degree,Computer Science,3 to 5 years,University courses,15.0,20.0,25.0,20.0,10.0,10.0
66,Female,India,30.0,"Independent contractor, freelancer, or self-employed",Yes,Statistician,R,Survival Analysis,R,Master's degree,Mathematics or statistics,1 to 2 years,Work,30.0,60.0,10.0,0.0,0.0,0.0
67,Male,France,25.0,Employed full-time,Yes,Data Scientist,Orange,MARS,Python,Master's degree,Mathematics or statistics,3 to 5 years,Self-taught,30.0,0.0,10.0,30.0,30.0,0.0
68,Male,France,39.0,Employed full-time,Yes,Data Scientist,Google Cloud Compute,Time Series Analysis,Python,Doctoral degree,A health science,1 to 2 years,Self-taught,20.0,20.0,60.0,0.0,0.0,0.0
69,Female,Germany,49.0,Employed part-time,Yes,Scientist/Researcher,Microsoft Azure Machine Learning,Text Mining,Python,Doctoral degree,Computer Science,More than 10 years,University courses,70.0,10.0,20.0,0.0,0.0,0.0
72,Male,Spain,38.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,R,Doctoral degree,Computer Science,6 to 10 years,University courses,60.0,5.0,35.0,0.0,0.0,0.0
74,Male,United Kingdom,41.0,"Independent contractor, freelancer, or self-employed",Yes,Engineer,TensorFlow,"Ensemble Methods (e.g. boosting, bagging)",Python,Doctoral degree,Electrical Engineering,More than 10 years,University courses,40.0,20.0,25.0,10.0,5.0,0.0
75,Male,United States,40.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Deep learning,Python,Doctoral degree,Physics,More than 10 years,Self-taught,90.0,10.0,0.0,0.0,0.0,0.0
78,Male,Singapore,33.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Mathematics or statistics,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",30.0,50.0,20.0,0.0,0.0,0.0
80,Male,United States,25.0,Employed full-time,Yes,Engineer,TensorFlow,Neural Nets,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,Self-taught,70.0,10.0,10.0,5.0,5.0,0.0
81,Male,Germany,44.0,Employed full-time,Yes,Other,R,Regression,Python,Master's degree,A humanities discipline,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",35.0,50.0,15.0,0.0,0.0,0.0
82,Male,Colombia,40.0,Employed full-time,Yes,Machine Learning Engineer,Microsoft Azure Machine Learning,Deep learning,Python,Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",10.0,80.0,10.0,0.0,0.0,0.0
86,Female,United States,31.0,Employed full-time,Yes,Scientist/Researcher,Amazon Web services,"Ensemble Methods (e.g. boosting, bagging)",R,Doctoral degree,Engineering (non-computer focused),6 to 10 years,Self-taught,20.0,30.0,50.0,0.0,0.0,0.0
89,Female,United States,39.0,Employed full-time,Yes,Predictive Modeler,R,Bayesian Methods,R,Master's degree,Engineering (non-computer focused),1 to 2 years,University courses,15.0,0.0,30.0,55.0,0.0,0.0
95,Male,Canada,35.0,Employed full-time,Yes,Scientist/Researcher,Julia,Neural Nets,Python,Doctoral degree,A health science,3 to 5 years,Self-taught,95.0,5.0,0.0,0.0,0.0,0.0
99,Male,Hungary,40.0,Employed full-time,Yes,Researcher,Jupyter notebooks,Social Network Analysis,R,Doctoral degree,A social science,3 to 5 years,University courses,40.0,20.0,40.0,0.0,0.0,0.0
102,Male,India,27.0,Employed full-time,No,Software Developer/Software Engineer,R,Deep learning,R,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0
106,Male,United States,50.0,Employed full-time,Yes,Predictive Modeler,Python,Text Mining,R,Doctoral degree,Mathematics or statistics,More than 10 years,University courses,0.0,0.0,60.0,40.0,0.0,0.0
108,Male,France,36.0,Employed full-time,No,Software Developer/Software Engineer,Python,Time Series Analysis,Python,Master's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",50.0,40.0,9.0,0.0,1.0,0.0
110,Male,United States,59.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Microsoft Azure Machine Learning,Regression,Python,Master's degree,Physics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",20.0,80.0,0.0,0.0,0.0,0.0
111,Female,Brazil,27.0,Employed full-time,No,Other,Python,Monte Carlo Methods,Python,Bachelor's degree,Other,Less than a year,"Online courses (coursera, udemy, edx, etc.)",25.0,25.0,0.0,50.0,0.0,0.0
114,Male,Argentina,25.0,Employed full-time,No,Machine Learning Engineer,Python,Deep learning,Python,Master's degree,Engineering (non-computer focused),Less than a year,"Online courses (coursera, udemy, edx, etc.)",0.0,30.0,0.0,0.0,70.0,0.0
115,Male,United States,68.0,Employed full-time,Yes,Engineer,Jupyter notebooks,Anomaly Detection,Python,Master's degree,Electrical Engineering,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,60.0,20.0,0.0,0.0,0.0
119,Male,India,25.0,Employed full-time,Yes,Data Analyst,Java,Cluster Analysis,Java,Bachelor's degree,Computer Science,3 to 5 years,Self-taught,50.0,40.0,0.0,10.0,0.0,0.0
123,Female,United States,20.0,Employed part-time,No,Researcher,Java,Deep learning,Java,Some college/university study without earning a bachelor's degree,Biology,Less than a year,University courses,50.0,0.0,0.0,50.0,0.0,0.0
127,Male,Brazil,25.0,Employed full-time,Yes,Computer Scientist,Hadoop/Hive/Pig,Neural Nets,Python,Master's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,50.0,0.0,50.0,0.0,0.0
128,Male,Canada,42.0,Employed full-time,No,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Physics,Less than a year,University courses,5.0,40.0,5.0,50.0,0.0,0.0
130,Male,Brazil,32.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Text Mining,Python,Master's degree,Computer Science,3 to 5 years,University courses,30.0,30.0,10.0,20.0,10.0,0.0
132,Male,Hungary,38.0,Employed full-time,Yes,Researcher,Microsoft Azure Machine Learning,Anomaly Detection,Python,Bachelor's degree,Computer Science,3 to 5 years,Self-taught,30.0,30.0,30.0,0.0,0.0,10.0
133,Male,United States,25.0,Employed full-time,Yes,Business Analyst,R,Bayesian Methods,R,Master's degree,Engineering (non-computer focused),1 to 2 years,Self-taught,60.0,30.0,10.0,0.0,0.0,0.0
134,Male,Other,28.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,TensorFlow,Neural Nets,Python,Bachelor's degree,Physics,3 to 5 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
135,Male,Brazil,38.0,Employed full-time,Yes,Programmer,TensorFlow,Deep learning,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,60.0,0.0,20.0,0.0,0.0
137,Male,Russia,31.0,"Independent contractor, freelancer, or self-employed",Yes,Business Analyst,SAP BusinessObjects Predictive Analytics,Monte Carlo Methods,R,Some college/university study without earning a bachelor's degree,Computer Science,6 to 10 years,Work,80.0,0.0,20.0,0.0,0.0,0.0
140,Male,United States,31.0,Employed full-time,No,Business Analyst,DataRobot,Deep learning,R,Bachelor's degree,Computer Science,I don't write code to analyze data,"Online courses (coursera, udemy, edx, etc.)",100.0,0.0,0.0,0.0,0.0,0.0
142,Male,United States,35.0,Employed full-time,No,Engineer,SAP BusinessObjects Predictive Analytics,Time Series Analysis,Python,Master's degree,Electrical Engineering,Less than a year,"Online courses (coursera, udemy, edx, etc.)",45.0,35.0,0.0,20.0,0.0,0.0
144,Male,United States,20.0,Employed full-time,No,Scientist/Researcher,Mathematica,Cluster Analysis,Python,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),1 to 2 years,University courses,30.0,0.0,20.0,50.0,0.0,0.0
145,Female,United Kingdom,31.0,Employed full-time,Yes,Data Analyst,NoSQL,Neural Nets,SQL,Doctoral degree,A social science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0
146,Male,United States,27.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,C/C++,Neural Nets,Python,Some college/university study without earning a bachelor's degree,A social science,1 to 2 years,Kaggle competitions,50.0,25.0,0.0,10.0,15.0,0.0
157,Male,Spain,39.0,Employed full-time,Yes,Other,Python,Deep learning,Python,Master's degree,Engineering (non-computer focused),Less than a year,"Online courses (coursera, udemy, edx, etc.)",10.0,80.0,10.0,0.0,0.0,0.0
158,Male,United Kingdom,30.0,Employed full-time,Yes,Data Analyst,R,Random Forests,SQL,Bachelor's degree,A social science,3 to 5 years,Self-taught,30.0,50.0,20.0,0.0,0.0,0.0
165,Male,Spain,37.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,R,Other,Python,Master's degree,Electrical Engineering,3 to 5 years,University courses,15.0,60.0,10.0,10.0,5.0,0.0
166,Male,United States,62.0,"Independent contractor, freelancer, or self-employed",Yes,Programmer,R,Deep learning,Python,Master's degree,Other,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
175,Male,United States,38.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Julia,Genetic & Evolutionary Algorithms,Python,Doctoral degree,Biology,6 to 10 years,University courses,30.0,15.0,20.0,35.0,0.0,0.0
176,Male,United States,47.0,Employed full-time,Yes,Researcher,Julia,Neural Nets,Julia,Doctoral degree,Mathematics or statistics,More than 10 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
179,Male,France,26.0,Employed full-time,Yes,Scientist/Researcher,Python,Genetic & Evolutionary Algorithms,R,Master's degree,A health science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",10.0,85.0,5.0,0.0,0.0,0.0
181,A different identity,Canada,23.0,Employed full-time,Yes,Scientist/Researcher,Jupyter notebooks,Monte Carlo Methods,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,Self-taught,85.0,5.0,0.0,10.0,0.0,0.0
182,Male,United States,19.0,Employed part-time,No,Other,R,Monte Carlo Methods,Python,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,University courses,30.0,0.0,0.0,70.0,0.0,0.0
183,Male,India,23.0,Employed full-time,Yes,Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,60.0,10.0,20.0,0.0,0.0
185,Female,Poland,23.0,Employed part-time,Yes,Data Scientist,Tableau,Social Network Analysis,SAS,Bachelor's degree,Mathematics or statistics,Less than a year,University courses,5.0,25.0,50.0,20.0,0.0,0.0
187,Female,United States,31.0,Employed full-time,Yes,Scientist/Researcher,Python,Neural Nets,Python,Master's degree,Other,More than 10 years,Work,50.0,0.0,50.0,0.0,0.0,0.0
189,Male,Denmark,29.0,Employed full-time,Yes,Scientist/Researcher,Google Cloud Compute,Deep learning,R,Doctoral degree,Mathematics or statistics,3 to 5 years,University courses,50.0,0.0,20.0,20.0,10.0,0.0
194,Female,United States,31.0,Employed full-time,Yes,Data Scientist,Hadoop/Hive/Pig,Social Network Analysis,R,Master's degree,Fine arts or performing arts,3 to 5 years,University courses,50.0,0.0,0.0,50.0,0.0,0.0
197,Male,United States,50.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Deep learning,Python,Doctoral degree,Physics,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",80.0,20.0,0.0,0.0,0.0,0.0
199,Male,Finland,31.0,Employed full-time,Yes,Data Scientist,Other,Anomaly Detection,SAS,Bachelor's degree,Mathematics or statistics,6 to 10 years,University courses,15.0,4.0,60.0,20.0,1.0,0.0
201,Male,United States,72.0,Employed full-time,Yes,Data Scientist,Python,Cluster Analysis,Python,Doctoral degree,Mathematics or statistics,More than 10 years,Self-taught,80.0,10.0,10.0,0.0,0.0,0.0
203,Male,United States,37.0,Employed full-time,Yes,Data Scientist,TensorFlow,Neural Nets,Python,Doctoral degree,Biology,6 to 10 years,Other,30.0,30.0,40.0,0.0,0.0,0.0
204,Male,Canada,26.0,Employed full-time,No,Software Developer/Software Engineer,Python,Neural Nets,Python,Master's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",40.0,50.0,10.0,0.0,0.0,0.0
205,Male,New Zealand,30.0,Employed full-time,Yes,Data Analyst,Python,Deep learning,R,Bachelor's degree,Computer Science,6 to 10 years,Work,10.0,0.0,40.0,50.0,0.0,0.0
206,Male,France,24.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Genetic & Evolutionary Algorithms,R,Master's degree,Mathematics or statistics,1 to 2 years,University courses,10.0,0.0,30.0,50.0,10.0,0.0
208,Male,Ukraine,32.0,Employed full-time,No,Software Developer/Software Engineer,R,Neural Nets,R,Master's degree,Computer Science,I don't write code to analyze data,"Online courses (coursera, udemy, edx, etc.)",20.0,80.0,0.0,0.0,0.0,0.0
213,Male,Czech Republic,21.0,"Independent contractor, freelancer, or self-employed",Yes,Data Analyst,TensorFlow,Neural Nets,Python,Some college/university study without earning a bachelor's degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",20.0,50.0,15.0,0.0,15.0,0.0
218,Male,United Kingdom,55.0,"Independent contractor, freelancer, or self-employed",No,Business Analyst,Python,"Ensemble Methods (e.g. boosting, bagging)",Python,Bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",10.0,80.0,0.0,0.0,10.0,0.0
222,Male,Netherlands,26.0,Employed full-time,Yes,Business Analyst,Microsoft R Server (Formerly Revolution Analytics),Deep learning,Python,Master's degree,"Information technology, networking, or system administration",1 to 2 years,University courses,30.0,0.0,0.0,20.0,50.0,0.0
227,Male,Canada,18.0,Employed full-time,No,Software Developer/Software Engineer,Python,Deep learning,Python,Bachelor's degree,Electrical Engineering,Less than a year,"Online courses (coursera, udemy, edx, etc.)",50.0,30.0,0.0,0.0,20.0,0.0
228,Male,Other,29.0,"Independent contractor, freelancer, or self-employed",Yes,Computer Scientist,TensorFlow,Social Network Analysis,Python,Master's degree,Electrical Engineering,1 to 2 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
232,Male,United States,31.0,Employed full-time,Yes,Scientist/Researcher,Julia,Text Mining,R,Master's degree,Mathematics or statistics,3 to 5 years,University courses,20.0,10.0,15.0,55.0,0.0,0.0
233,Male,United States,20.0,Employed part-time,Yes,Data Scientist,DataRobot,Neural Nets,Python,Master's degree,Computer Science,3 to 5 years,Self-taught,70.0,20.0,0.0,10.0,0.0,0.0
234,Female,France,28.0,Employed full-time,Yes,Data Analyst,Python,Factor Analysis,R,Master's degree,Mathematics or statistics,3 to 5 years,University courses,40.0,0.0,10.0,40.0,0.0,10.0
235,Female,Germany,38.0,Employed full-time,Yes,Data Analyst,Jupyter notebooks,Deep learning,Python,Doctoral degree,Computer Science,6 to 10 years,University courses,25.0,25.0,25.0,25.0,0.0,0.0
237,Male,United States,52.0,"Independent contractor, freelancer, or self-employed",Yes,Scientist/Researcher,Julia,Deep learning,Python,Master's degree,Biology,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",40.0,40.0,10.0,0.0,10.0,0.0
238,Male,United States,29.0,Employed part-time,Yes,Data Scientist,Hadoop/Hive/Pig,Time Series Analysis,R,Master's degree,Engineering (non-computer focused),Less than a year,University courses,30.0,10.0,20.0,40.0,0.0,0.0
242,Male,United States,35.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Deep learning,Python,Doctoral degree,Biology,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",30.0,32.0,25.0,10.0,3.0,0.0
243,Male,United States,28.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,SQL,Social Network Analysis,Python,Bachelor's degree,A social science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",20.0,15.0,25.0,0.0,0.0,40.0
244,Male,Italy,27.0,Employed full-time,No,Software Developer/Software Engineer,DataRobot,Deep learning,Python,Bachelor's degree,Computer Science,I don't write code to analyze data,University courses,10.0,20.0,0.0,70.0,0.0,0.0
245,Male,Italy,52.0,Employed full-time,Yes,DBA/Database Engineer,TensorFlow,Cluster Analysis,Python,Bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",40.0,30.0,5.0,10.0,5.0,10.0
247,Male,United States,24.0,Employed part-time,Yes,Business Analyst,Stan,Decision Trees,R,Bachelor's degree,Mathematics or statistics,3 to 5 years,University courses,10.0,10.0,0.0,80.0,0.0,0.0
248,Male,United States,27.0,Employed full-time,No,Programmer,Python,Rule Induction,Python,Master's degree,Electrical Engineering,3 to 5 years,Self-taught,40.0,40.0,0.0,0.0,20.0,0.0
253,Male,Germany,35.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,70.0,0.0,0.0,10.0,0.0
255,Male,Belarus,31.0,Employed full-time,Yes,Programmer,Python,Regression,Python,Master's degree,Other,1 to 2 years,Self-taught,20.0,40.0,20.0,0.0,20.0,0.0
256,Male,Czech Republic,25.0,Employed full-time,Yes,Other,TensorFlow,Deep learning,R,Master's degree,Mathematics or statistics,3 to 5 years,University courses,54.0,0.0,24.0,20.0,2.0,0.0
258,Female,United States,28.0,Employed full-time,Yes,Engineer,R,Anomaly Detection,Python,Master's degree,Electrical Engineering,6 to 10 years,University courses,10.0,5.0,65.0,20.0,0.0,0.0
259,Male,United States,48.0,Employed full-time,Yes,Other,TensorFlow,Deep learning,Python,Doctoral degree,Electrical Engineering,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",25.0,35.0,5.0,10.0,0.0,25.0
260,Male,United States,38.0,Employed full-time,No,Software Developer/Software Engineer,Spark / MLlib,Deep learning,Python,Bachelor's degree,Computer Science,Less than a year,Self-taught,95.0,0.0,0.0,0.0,5.0,0.0
262,Female,United Kingdom,32.0,Employed full-time,Yes,Other,R,Text Mining,R,Master's degree,Mathematics or statistics,Less than a year,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
265,Male,United States,43.0,Employed full-time,Yes,Engineer,Amazon Machine Learning,Monte Carlo Methods,R,Master's degree,Electrical Engineering,Less than a year,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
266,Male,Brazil,33.0,Employed full-time,No,Software Developer/Software Engineer,Julia,Monte Carlo Methods,Python,Bachelor's degree,Computer Science,1 to 2 years,Self-taught,40.0,60.0,0.0,0.0,0.0,0.0
271,Male,Poland,26.0,Employed full-time,Yes,Data Scientist,Microsoft R Server (Formerly Revolution Analytics),Deep learning,R,Master's degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,50.0,10.0,30.0,10.0,0.0
273,Male,United States,30.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Bayesian Methods,Python,Bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",50.0,40.0,0.0,0.0,10.0,0.0
274,Male,France,30.0,Employed full-time,Yes,Other,Other,Neural Nets,Python,Doctoral degree,Biology,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",30.0,50.0,0.0,0.0,20.0,0.0
275,Male,Australia,55.0,"Independent contractor, freelancer, or self-employed",No,Predictive Modeler,R,Deep learning,R,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",80.0,15.0,0.0,0.0,5.0,0.0
276,Male,United States,24.0,Employed full-time,No,Other,TensorFlow,Genetic & Evolutionary Algorithms,R,Bachelor's degree,Biology,Less than a year,Self-taught,50.0,50.0,0.0,0.0,0.0,0.0
277,Male,Czech Republic,30.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Spark / MLlib,Time Series Analysis,Python,Master's degree,Computer Science,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,25.0,55.0,0.0,0.0,0.0
